19;1;25;1;8;1;3;12;12;10.45;85;1;0;0;0;0;1;1;1;1;;4;10.95;10.95;5;;0;6;0;0;0;6;0;0;5;0;0;0;;No Bonus;19;3;0;10.95;;1;0;4;-1;1;0;0;0;1;0;0;0;0.0662252;0.0340301
16;1;21;0;6;1;4;12;12;10.25;75;4;0;0;0;0;0;0;0;0;;3;10.25;10.25;1;;6;3;0;5;6;0;5;5;0;5;0;0;;No Bonus;16;4;0;10.25;;4;0;0;2;1;0;0;0;0;0;0;1;0.0894789;0.0485556
20;1;25;0;2;1;4;11;11;10.53;79;3;2.35;0.6;0;0.25;4;3;3;3;;4;10.53;10.53;6;;0;3;3;0;0;3;0;1;3;0;0;0;;No Bonus;20;4;1;10.53;;3;3.2;13;-2;1;0;0;0;0;0;1;0;0.0894789;0.0485556
2;1;26;1;6;1;4;12.5;12.5;10.6;80;2;0;0;0;0;0;0;0;0;;3;10.6;10.6;5;;0;4;0;0;0;4;0;0;4;0;0;0;;No Bonus;2;4;0;10.6;;2;0;0;-2;1;0;0;0;0;1;0;0;0.0894789;0.0485556
4;0;23;0;10;1;4;13.5;13.5;11.85;105;1;0;0;0;0;2;0;0;0;;4;12.35;12.35;6;;0;5;1;0;0;4;0;0;5;0;4;0;;No Bonus;4;4;0;12.35;;1;0;2;-2;1;0;0;0;1;0;0;0;0.0894789;0.0485556
12;1;28;1;2;1;5;12;12;11.58;94;4;0;1;0;0;1;1;1;1;;4;11.58;11.58;3;;1;2;0;1;3;0;2;4;2;6;6;0;;No Bonus;12;5;1;11.58;;4;1;4;1;1;0;0;0;0;0;0;1;0.047619;0.02795
13;1;24;1;4;1;5;13.5;13.5;11.93;99;3;0;0;0;0;0;0;0;0;;5;11.93;11.93;4;;0;3;0;0;0;6;0;0;5;0;0;0;;No Bonus;13;5;0;11.93;;3;0;0;1;1;0;0;0;0;0;1;0;0.047619;0.02795
7;0;28;0;1;1;5;14;14;12;100;2;0;0;0;0;0;0;0;0;;4;12;12;4;;0;2;0;0;3;2;0;0;2;0;0;0;;No Bonus;7;5;0;12;;2;0;0;0;1;0;0;0;0;1;0;0;0.047619;0.02795
3;0;26;1;13;1;5;14;14;12.41;113;1;0;0;0;0;0;0;0;0;;5;12.91;12.91;6;;0;2;0;0;0;4;0;0;4;0;0;0;;No Bonus;3;5;0;12.91;;1;0;0;-1;1;0;0;0;1;0;0;0;0.047619;0.02795
10;0;27;1;12;2;1;12.5;12.5;10.46;78;4;0;0;0;0;0;0;0;0;;4;10.46;10.46;2;;6;4;0;0;0;2;0;4;2;1;0;0;;No Bonus;34;7;0;10.46;;4;0;0;2;1;0;0;0;0;0;0;1;0.1;0.0557522
15;0;25;1;13;2;1;12.5;12.5;10.88;84;3;0;0;0;0;2;0;0;0;;6;10.88;10.88;4;;1;5;0;0;1;1;0;2;1;1;0;0;;No Bonus;39;7;0;10.88;;3;0;2;2;1;0;0;0;0;0;1;0;0.1;0.0557522
7;0;23;0;4;2;1;13;13;10.88;84;2;0;0;0;0;0;0;0;0;;5;10.88;10.88;5;;1;1;1;1;0;5;1;0;5;0;2;0;;No Bonus;31;7;0;10.88;;2;0;0;0;1;0;0;0;0;1;0;0;0.1;0.0557522
20;0;22;1;6;2;1;14;14;12.48;114;1;0;0;0;0;2;0;0;0;;5;12.98;12.98;5;;1;2;1;2;1;6;2;1;6;3;5;0;;No Bonus;44;7;0;12.98;;1;0;2;0;1;0;0;0;1;0;0;0;0.1;0.0557522
6;1;25;1;1;2;2;9.5;9.5;9.33;69;4;2;2;1;0;2;2;1;1;;4;9.83;9.83;4;;0;1;6;0;0;4;0;1;3;5;4;0;;No Bonus;30;8;1;9.83;;4;5;6;0;1;0;0;0;0;0;0;1;0.0989433;0.0542636
