period;Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2;1;21;1;37;37;14;11;0;0;16;1;;1;1;2;1;1;3;3;1;0;0;2;1;;155;16;7;9.648648;9.648648;0.8108108;7;;1;0;1;1;0;1;;23;1;12;0;12;0;
20;2;2;17;1;29;29;11;11;0;0;12;1;;1;1;2;2;1;2;3;1;0;0;2;1;;172;12;5.5;7.586207;7.586207;0.8103448;5.5;;1;0;1;1;0;1;;18;1;12;0;12;0;
50;2;2;-5;2;19;35;19;17;0;1;5;0;;1;1;2;2;1;4;2;0;1;0;5;0;0;359.5;21.501;8.5;16.10526;14.65714;0.5526316;;13.5;;1;1;0;0;;0;2;2;12;0;12;0;
26;2;2;-4;2;17;32;18;17;0;0;4;0;;1;1;2;2;1;6;1;0;0;1;3;0;;178;22.001;0;14.0625;14.0625;;;;0;0;0;0;0;;;14;2;12;0;12;0;
38;2;1;-2;2;20;35;20;19;0;0;2;0;;1;1;2;1;1;2;2;0;1;0;4;0;;245.5;22.001;5.714286;15.71429;15.71429;;;;0;0;0;0;0;;;15;2;12;0;12;0;
36;2;1;14;2;20;36;20;19;0;1;6;1;;1;1;2;1;1;4;2;0;1;0;4;0;;249.5;6.005;9.5;18.525;15.55556;0.525;;15.5;;1;1;0;0;;0;1;2;12;0;12;0;
45;2;2;12;1;16;55;16;14;0;1;4;1;;1;1;2;2;1;2;2;0;1;0;5;0;0;319.5;4.005;7;13.125;10.32727;0.5625;;11;;1;1;0;0;;0;2;2;12;0;12;0;
35;2;1;21.8;1;41;41;19;16;0;0;19.2;1;;1;1;2;1;1;6;3;1;0;0;4;0;;235.5;19.2;9.5;13.90244;13.90244;0.7682927;9.5;;1;0;1;1;0;1;;22;1;12;0;12;0;
18;2;2;0;1;40;40;19;17;1;1;;0;;1;1;2;2;1;6;3;1;0;0;2;1;;155;;;16.10526;14.0125;;;;;0;0;;0;;;2;1;12;0;12;0;
28;2;1;14;1;16;30;16;15;0;1;2;1;;1;1;2;1;1;2;2;0;1;0;3;0;;192;2;7.5;14.53125;12.26667;0.53125;;9.5;;1;1;0;0;;0;1;1;12;0;12;0;
49;2;1;13;2;17;34;17;14;0;1;4;1;;1;1;2;1;1;3;2;0;1;0;5;0;0;364.5;4;7;12.76471;12.75;0.5882353;;11;;1;1;0;0;;0;3;1;12;0;12;0;
9;2;1;-10;2;15;41;15;13;0;0;10;0;;1;1;2;1;1;5;2;0;1;0;1;1;1;95;66;2.743902;10.2439;10.2439;;;;0;0;0;0;0;;;26;3;12;0;12;0;
3;2;2;0;2;38;38;13;11;1;1;;0;;1;1;2;2;1;3;3;1;0;0;1;1;1;99;;;10.15385;8.723684;;;;;0;0;;0;;;2;2;12;0;12;0;
32;2;2;-3;2;17;45;17;14;0;0;3;0;;1;1;2;2;1;6;2;0;1;0;4;0;;215.9;21;3.211111;11.71111;11.71111;;;;0;0;0;0;0;;;28;2;12;0;12;0;
19;2;2;0;2;33;33;20;19;1;1;;0;;1;1;2;2;1;6;3;1;0;0;2;1;;155;;;18.525;16.06061;;;;;0;0;;0;;;1;2;12;0;12;0;
8;2;2;0;1;18;30;18;18;0;1;18;1;;1;1;2;2;1;6;1;0;0;1;1;1;1;105;18.001;9;18;14.4;;;;;0;0;0;0;;;0;2;12;0;12;0;
40;2;1;34;1;50;50;15;15;0;0;16;1;;1;1;2;1;1;5;3;1;0;0;4;0;;278.5;16.005;7.5;9.75;9.75;0.85;7.505;;1;0;1;1;0;1;;35;2;12;0;12;0;
10;2;2;0;1;31;31;15;13;1;1;;0;;1;1;2;2;1;6;3;1;0;0;1;1;1;95;;;12.13333;11.12903;;;;;0;0;;0;;;2;2;12;0;12;0;
11;2;1;5;2;15;27;17;15;0;1;10;1;;1;1;2;1;1;1;1;0;0;1;2;1;;100;11.1;6.617647;14.11765;13.85185;;;;;0;0;0;0;;;2;2;12;0;12;0;
23;2;1;17;1;35;35;19;17;0;0;18;1;;1;1;2;1;1;6;3;1;0;0;3;1;;182;18;9.5;14.65714;14.65714;0.7285714;9.5;;1;0;1;0;1;0;;16;1;12;0;12;0;
7;2;1;15;2;35;35;18;16;0;0;20;1;;1;1;2;1;1;1;3;1;0;0;1;1;1;105;20;9;13.62857;13.62857;0.7428572;9;;1;0;1;1;0;1;;17;1;12;0;12;0;
