---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;storage;display;value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variable;name;type;format;label;variable;label;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;9;4;Investor;4;4;8;;;;;;14;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;129;0;;0.6666667;12
9;18;4;Trustee;4;0;8;;;;;;30;4;1;;;;;;;;;;;;;;;;0;;6;Baseline;138;0;;0.6666667;12
9;20;5;Investor;1;8;0;;;;;;9;30;5;;;;;;;;;;;;;;;;0;;6;Baseline;140;0;;0;7
9;8;5;Trustee;1;0;0;;;;;;30;19;2;;;;;;;;;;;;;;;;0;;6;Baseline;128;0;;0;11
9;1;6;Trustee;1;0;1;;;;;;30;17;1;;;;;;;;;;;;;;;;0;;6;Baseline;121;0;;0.3333333;10
9;3;6;Investor;1;3;1;;;;;;19;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;123;0;;0.3333333;8
10;19;1;Investor;6;14;12;;;;;;10;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;139;0;;0.6666667;14
10;18;1;Trustee;6;0;12;;;;;;30;6;1;;;;;;;;;;;;;;;;0;;6;Baseline;138;0;;0.6666667;14
10;8;2;Trustee;0;0;0;;;;;;30;16;2;;;;;;;;;;;;;;;;0;;6;Baseline;128;0;;0;8
10;21;2;Investor;0;0;0;;;;;;6;30;8;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0;8
10;12;3;Investor;8;16;16;;;;;;5;30;1;;;;;;;;;;;;;;;;0;;6;Baseline;132;0;;0.6666667;16
10;11;3;Trustee;8;0;16;;;;;;30;3;1;;;;;;;;;;;;;;;;0;;6;Baseline;131;0;;0.6666667;16
10;1;4;Trustee;3;0;4;;;;;;30;10;1;;;;;;;;;;;;;;;;0;;6;Baseline;121;0;;0.4444444;13
10;20;4;Investor;3;10;4;;;;;;7;30;4;;;;;;;;;;;;;;;;0;;6;Baseline;140;0;;0.4444444;9
10;9;5;Investor;8;16;10;;;;;;11;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;129;0;;0.4166667;10
10;10;5;Trustee;8;0;10;;;;;;30;9;3;;;;;;;;;;;;;;;;0;;6;Baseline;130;0;;0.4166667;22
10;4;6;Trustee;3;0;6;;;;;;30;9;7;;;;;;;;;;;;;;;;0;;6;Baseline;124;0;;0.6666667;11
10;3;6;Investor;3;5;6;;;;;;18;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;123;0;;0.6666667;11
1;23;1;Trustee;8;0;0;;;;;;30;24;2;;;;;;;;;;;;;;;;0;;7;Baseline;167;0;;0;32
1;15;1;Investor;8;16;0;;;;;;19;30;8;;;;;;;;;;;;;;;;0;;7;Baseline;159;0;;0;0
1;24;2;Trustee;2;0;3;;;;;;30;20;5;;;;;;;;;;;;;;;;0;;7;Baseline;168;0;;0.5;11
1;2;2;Investor;2;2;3;;;;;;17;30;8;;;;;;;;;;;;;;;;0;;7;Baseline;146;0;;0.5;9
1;14;3;Investor;4;6;0;;;;;;25;30;6;;;;;;;;;;;;;;;;0;;7;Baseline;158;0;;0;4
1;16;3;Trustee;4;0;0;;;;;;30;21;6;;;;;;;;;;;;;;;;0;;7;Baseline;160;0;;0;20
1;17;4;Trustee;8;0;16;;;;;;30;39;6;;;;;;;;;;;;;;;;0;;7;Baseline;161;0;;0.6666667;16
1;6;4;Investor;8;12;16;;;;;;29;30;10;;;;;;;;;;;;;;;;0;;7;Baseline;150;0;;0.6666667;16
1;22;5;Investor;4;3;0;;;;;;18;30;9;;;;;;;;;;;;;;;;0;;7;Baseline;166;0;;0;4
1;13;5;Trustee;4;0;0;;;;;;30;14;5;;;;;;;;;;;;;;;;0;;7;Baseline;157;0;;0;20
1;7;6;Investor;8;16;0;;;;;;17;30;6;;;;;;;;;;;;;;;;0;;7;Baseline;151;0;;0;0
1;5;6;Trustee;8;0;0;;;;;;30;25;6;;;;;;;;;;;;;;;;0;;7;Baseline;149;0;;0;32
2;22;1;Investor;2;1;0;;;;;;20;30;7;;;;;;;;;;;;;;;;0;;7;Baseline;166;0;;0;6
2;16;1;Trustee;2;0;0;;;;;;30;6;2;;;;;;;;;;;;;;;;0;;7;Baseline;160;0;;0;14
2;6;2;Investor;8;12;16;;;;;;20;30;8;;;;;;;;;;;;;;;;0;;7;Baseline;150;0;;0.6666667;16
2;17;2;Trustee;8;0;16;;;;;;30;33;9;;;;;;;;;;;;;;;;0;;7;Baseline;161;0;;0.6666667;16
2;15;3;Investor;8;16;0;;;;;;27;30;4;;;;;;;;;;;;;;;;0;;7;Baseline;159;0;;0;0
2;5;3;Trustee;8;0;0;;;;;;30;11;3;;;;;;;;;;;;;;;;0;;7;Baseline;149;0;;0;32
2;14;4;Investor;4;6;7;;;;;;6;30;11;;;;;;;;;;;;;;;;0;;7;Baseline;158;0;;0.5833333;11
2;24;4;Trustee;4;0;7;;;;;;30;23;8;;;;;;;;;;;;;;;;0;;7;Baseline;168;0;;0.5833333;13
2;2;5;Investor;2;2;0;;;;;;10;30;6;;;;;;;;;;;;;;;;0;;7;Baseline;146;0;;0;6
2;23;5;Trustee;2;0;0;;;;;;30;5;10;;;;;;;;;;;;;;;;0;;7;Baseline;167;0;;0;14
