5;10;2;0;40;0;0;30;1;3;1;0;1;3;1;0;1;;5;0;30;27;5;1.609438;20;1;10;PDSH3010;1;0;1370;;5;0;0;0;0;0;0.0384615;;1;1
6;1;5;0;60;0;0;30;1;3;0;0;2;3;1;0;1;;2;0;30;27;6;0.6931472;20;1;1;PDSH3010;1;0;1180;;;0;0;1;0;1;0.2692308;;1;1
6;2;2;10;60;0;0;30;1;3;0;0;2;3;1;0;0;;3;0;10;27;6;1.098612;20;1;2;PDSH3010;1;0;1220;;;1;0;0;0;0;0.0384615;;1;1
6;3;5;30;100;0;0;30;1;3;0;0;2;3;1;0;0;;6;1;0;27;6;1.791759;20;1;3;PDSH3010;1;0;1350;;;0;0;0;0;0;0.0769231;;0;0
6;4;1;10;140;0;0;30;1;3;0;0;2;3;1;0;0;;4;0;10;27;6;1.386294;20;1;4;PDSH3010;1;0;1460;;;1;0;0;0;0;0;;0;1
6;5;4;10;120;0;0;30;1;3;0;0;2;3;1;0;0;;4;0;10;27;6;1.386294;20;1;5;PDSH3010;1;0;1190;;;1;0;0;0;0;0.2307692;;0;1
6;6;1;10;100;0;0;30;1;3;0;0;2;3;1;0;0;;8;0;10;27;6;2.079442;20;1;6;PDSH3010;1;0;1300;;;1;0;1;1;0;0.1153846;;1;1
6;7;3;10;60;0;0;30;1;3;0;0;2;3;1;0;0;;6;0;10;27;6;1.791759;20;1;7;PDSH3010;1;0;1240;;;1;0;0;0;0;0.0384615;;1;1
6;8;4;10;110;0;0;30;1;3;0;0;2;3;1;0;0;;5;0;10;27;6;1.609438;20;1;8;PDSH3010;1;0;1240;;;1;0;1;1;0;0.5;;1;1
6;9;3;10;60;0;0;30;1;3;0;0;2;3;1;0;0;;3;0;10;27;6;1.098612;20;1;9;PDSH3010;1;0;1280;;;1;0;0;0;0;0.0384615;;1;0
6;10;2;10;50;0;0;30;1;3;0;0;2;3;1;0;0;;6;0;10;27;6;1.791759;20;1;10;PDSH3010;1;0;1370;;;1;0;1;1;0;0.0384615;;1;1
7;1;5;10;70;0;0;30;1;3;0;0;3;3;1;0;0;;6;0;10;27;7;1.791759;20;1;1;PDSH3010;1;0;1180;;;1;0;1;1;0;0.2692308;;1;1
7;2;3;10;70;0;0;30;1;3;0;0;3;3;1;0;0;;4;0;10;27;7;1.386294;20;1;2;PDSH3010;1;0;1220;;;1;0;0;0;0;0.0384615;;1;1
7;3;3;10;110;0;0;30;1;3;0;0;3;3;1;0;0;;6;0;10;27;7;1.791759;20;1;3;PDSH3010;1;0;1350;;;1;0;0;0;0;0.0769231;;0;0
7;4;4;10;150;0;0;30;1;3;0;0;3;3;1;0;0;;3;0;10;27;7;1.098612;20;1;4;PDSH3010;1;0;1460;;;1;0;0;0;0;0;;0;1
7;5;2;30;150;0;0;30;1;3;0;0;3;3;1;0;0;;7;1;0;27;7;1.94591;20;1;5;PDSH3010;1;0;1190;;;0;0;0;0;0;0.2307692;;0;1
7;6;5;10;110;0;0;30;1;3;0;0;3;3;1;0;0;;5;0;10;27;7;1.609438;20;1;6;PDSH3010;1;0;1300;;;1;0;0;0;0;0.1153846;;1;1
7;7;1;10;70;0;0;30;1;3;0;0;3;3;1;0;0;;5;0;10;27;7;1.609438;20;1;7;PDSH3010;1;0;1240;;;1;0;0;0;0;0.0384615;;1;1
7;8;2;0;110;0;0;30;1;3;0;0;3;3;1;0;1;;3;0;30;27;7;1.098612;20;1;8;PDSH3010;1;0;1240;;;0;0;1;0;1;0.5;;1;1
7;9;1;10;70;0;0;30;1;3;0;0;3;3;1;0;0;;3;0;10;27;7;1.098612;20;1;9;PDSH3010;1;0;1280;;;1;0;0;0;0;0.0384615;;1;0
7;10;4;10;60;0;0;30;1;3;0;0;3;3;1;0;0;;1;0;10;27;7;0;20;1;10;PDSH3010;1;0;1370;;;1;0;0;0;0;0.0384615;;1;1
8;1;5;0;70;0;0;30;1;3;0;0;4;3;1;0;1;;3;0;30;27;8;1.098612;20;1;1;PDSH3010;1;0;1180;;;0;0;1;0;1;0.2692308;;1;1
8;2;3;10;80;0;0;30;1;3;0;0;4;3;1;0;0;;16;0;10;27;8;2.772589;20;1;2;PDSH3010;1;0;1220;;;1;0;0;0;0;0.0384615;;1;1
8;3;4;10;120;0;0;30;1;3;0;0;4;3;1;0;0;;3;0;10;27;8;1.098612;20;1;3;PDSH3010;1;0;1350;;;1;0;0;0;0;0.0769231;;0;0
8;4;1;10;160;0;0;30;1;3;0;0;4;3;1;0;0;;5;0;10;27;8;1.609438;20;1;4;PDSH3010;1;0;1460;;;1;0;0;0;0;0;;0;1
8;5;1;10;160;0;0;30;1;3;0;0;4;3;1;0;0;;7;0;10;27;8;1.94591;20;1;5;PDSH3010;1;0;1190;;;1;0;0;0;0;0.2307692;;0;1
8;6;3;10;120;0;0;30;1;3;0;0;4;3;1;0;0;;2;0;10;27;8;0.6931472;20;1;6;PDSH3010;1;0;1300;;;1;0;0;0;0;0.1153846;;1;1
8;7;2;10;80;0;0;30;1;3;0;0;4;3;1;0;0;;3;0;10;27;8;1.098612;20;1;7;PDSH3010;1;0;1240;;;1;0;0;0;0;0.0384615;;1;1
8;8;5;30;140;0;0;30;1;3;0;0;4;3;1;0;0;;3;1;0;27;8;1.098612;20;1;8;PDSH3010;1;0;1240;;;0;0;1;1;0;0.5;;1;1
8;9;2;10;80;0;0;30;1;3;0;0;4;3;1;0;0;;4;0;10;27;8;1.386294;20;1;9;PDSH3010;1;0;1280;;;1;0;0;0;0;0.0384615;;1;0
8;10;4;10;70;0;0;30;1;3;0;0;4;3;1;0;0;;1;0;10;27;8;0;20;1;10;PDSH3010;1;0;1370;;;1;0;0;0;0;0.0384615;;1;1
9;1;4;0;70;0;0;30;1;3;0;0;5;3;1;0;1;;4;0;30;27;9;1.386294;20;1;1;PDSH3010;1;0;1180;;;0;0;0;0;0;0.2692308;;1;1
9;2;3;10;90;0;0;30;1;3;0;0;5;3;1;0;0;;2;0;10;27;9;0.6931472;20;1;2;PDSH3010;1;0;1220;;;1;0;0;0;0;0.0384615;;1;1
9;3;4;30;150;0;0;30;1;3;0;0;5;3;1;0;0;;3;1;0;27;9;1.098612;20;1;3;PDSH3010;1;0;1350;;;0;0;0;0;0;0.0769231;;0;0
9;4;5;10;170;0;0;30;1;3;0;0;5;3;1;0;0;;5;0;10;27;9;1.609438;20;1;4;PDSH3010;1;0;1460;;;1;0;0;0;0;0;;0;1
9;5;3;10;170;0;0;30;1;3;0;0;5;3;1;0;0;;9;0;10;27;9;2.197225;20;1;5;PDSH3010;1;0;1190;;;1;0;0;0;0;0.2307692;;0;1
9;6;2;10;130;0;0;30;1;3;0;0;5;3;1;0;0;;11;0;10;27;9;2.397895;20;1;6;PDSH3010;1;0;1300;;;1;0;0;0;0;0.1153846;;1;1
9;7;5;10;90;0;0;30;1;3;0;0;5;3;1;0;0;;2;0;10;27;9;0.6931472;20;1;7;PDSH3010;1;0;1240;;;1;0;0;0;0;0.0384615;;1;1
9;8;1;0;140;0;0;30;1;3;0;0;5;3;1;0;1;;4;0;30;27;9;1.386294;20;1;8;PDSH3010;1;0;1240;;;0;0;1;0;1;0.5;;1;1
9;9;2;10;90;0;0;30;1;3;0;0;5;3;1;0;0;;5;0;10;27;9;1.609438;20;1;9;PDSH3010;1;0;1280;;;1;0;0;0;0;0.0384615;;1;0
9;10;1;30;100;0;0;30;1;3;0;0;5;3;1;0;0;;2;1;0;27;9;0.6931472;20;1;10;PDSH3010;1;0;1370;;;0;0;0;0;0;0.0384615;;1;1
10;1;3;10;80;0;0;30;1;3;0;0;6;3;1;0;0;;2;0;10;27;10;0.6931472;20;1;1;PDSH3010;1;0;1180;;;1;0;1;1;0;0.2692308;;1;1
